fold,best_epoch,val_accuracy,val_sensitivity,val_specificity,val_precision,val_f1,val_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_auc
1,13,0.84875,0.8717047451669596,0.7922077922077922,0.9117647058823529,0.8912848158131177,0.9156186519982653,0.849,0.8467852257181943,0.8550185873605948,0.9407294832826748,0.8912886969042477,0.9104755414744786
2,29,0.8725,0.8787346221441125,0.8571428571428571,0.9380863039399625,0.9074410163339383,0.9245429438751056,0.848,0.8426812585499316,0.862453531598513,0.9433384379785605,0.8901734104046243,0.909112637879566
3,10,0.81625,0.8224956063268892,0.8008658008658008,0.9105058365758755,0.8642659279778393,0.8897815716796387,0.821,0.8207934336525308,0.8215613382899628,0.9259259259259259,0.8701957940536621,0.9060867884804134
4,18,0.87625,0.9102112676056338,0.7931034482758621,0.9150442477876106,0.9126213592233009,0.9262460539096649,0.881,0.9001367989056087,0.828996282527881,0.9346590909090909,0.9170731707317074,0.9204888145281456
5,30,0.8575,0.8785211267605634,0.8060344827586207,0.9172794117647058,0.8974820143884893,0.9031083050024283,0.878,0.8905608755129959,0.8438661710037175,0.9393939393939394,0.9143258426966293,0.9196242861283876
