stage,metric,mean,sd
val,accuracy,0.8542,0.024
val,sensitivity,0.8723,0.0316
val,specificity,0.8099,0.027
val,precision,0.9185,0.0113
val,f1,0.8946,0.0189
val,auc,0.9119,0.0154
test,accuracy,0.8554,0.0247
test,sensitivity,0.8602,0.0338
test,specificity,0.8424,0.0172
test,precision,0.9368,0.0069
test,f1,0.8966,0.0194
test,auc,0.9132,0.0065
