epoch,phase,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
1,1,0.6971294060349464,0.5998753872777249,0.6927852869033814,0.6364853658351022,0.41625,0.23022847100175747,0.8744588744588745
2,1,0.6799553582072257,0.6540263586300958,0.6850330376625061,0.6360136641331721,0.56,0.5272407732864675,0.6406926406926406
3,1,0.6705435612797737,0.6840352771778258,0.6828718626499176,0.6438728231346861,0.56375,0.5202108963093146,0.670995670995671
4,1,0.6682458317279816,0.6863387604453385,0.6907146763801575,0.6470301813008317,0.4725,0.3321616871704745,0.8181818181818182
5,1,0.6607283952832222,0.7001126453419346,0.6792580616474152,0.6727987887917588,0.49375,0.36203866432337434,0.8181818181818182
6,1,0.6595525978505612,0.7080880495259587,0.7080397772789001,0.6672677059320293,0.3825,0.1616871704745167,0.9264069264069265
7,2,0.6104690574109555,0.7847357963341824,0.5901126182079315,0.8148266496245407,0.715,0.6766256590509666,0.8095238095238095
8,2,0.5118054322898388,0.8944648016549177,0.5364043110609055,0.8683419685177154,0.765,0.7346221441124781,0.8398268398268398
9,2,0.44362772881984713,0.9427123402687152,0.5390441477298736,0.8769543286239243,0.8125,0.8330404217926186,0.7619047619047619
10,2,0.39762597396969795,0.9664485944026853,0.5148184466361999,0.8897815716796387,0.81625,0.8224956063268892,0.8008658008658008
11,2,0.352564492598176,0.9826382754814972,0.535631046295166,0.8830560183811501,0.8275,0.8541300527240774,0.7619047619047619
12,2,0.33483818382024766,0.988013148921701,0.5374676102399826,0.8719329879259581,0.82,0.8523725834797891,0.7402597402597403
13,2,0.30850191950798034,0.9940030127405112,0.5305786442756653,0.8867535510769256,0.85,0.8980667838312829,0.7316017316017316
14,2,0.29008457794785497,0.9972256573036162,0.5399936455488205,0.880347537641035,0.85875,0.8910369068541301,0.7792207792207793
15,2,0.28428988747298717,0.9977304717997231,0.5370848333835602,0.8790161215468772,0.83875,0.8681898066783831,0.7662337662337663
16,2,0.27720575757324695,0.9988839942936492,0.5281397944688797,0.8888229520918449,0.83875,0.8611599297012302,0.7835497835497836
17,2,0.2735252571851015,0.9987647953862899,0.5537774083018303,0.8692701557376423,0.84125,0.8892794376098418,0.7229437229437229
18,2,0.26560197919607165,0.9991841285942508,0.5344615572690964,0.8891729243223093,0.83375,0.8453427065026362,0.8051948051948052
