epoch,phase,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
1,1,0.6953112435340881,0.6098872586872587,0.6876062607765198,0.6503915735794075,0.5175,0.39436619718309857,0.8189655172413793
2,1,0.6797566440701485,0.6518667062667063,0.6859776544570922,0.6701827343370569,0.46875,0.30633802816901406,0.8663793103448276
3,1,0.6736304280161858,0.6722304722304723,0.6809442472457886,0.6865665978630402,0.485,0.33274647887323944,0.8577586206896551
4,1,0.6606862269341945,0.7022797742797743,0.675071611404419,0.6792890966488587,0.65125,0.6795774647887324,0.5818965517241379
5,1,0.6590348316729069,0.7045438669438668,0.6730547106266022,0.6824307916464303,0.56,0.4788732394366197,0.7586206896551724
6,1,0.6460074734687805,0.7300369468369469,0.6763933145999909,0.6743944269062652,0.59375,0.5580985915492958,0.6810344827586207
7,2,0.6068429423868656,0.7958491238491239,0.5722576236724853,0.8343476809130645,0.74875,0.7464788732394366,0.7543103448275862
8,2,0.5056492334604263,0.8993672705672705,0.5136043721437454,0.8895929456046625,0.80625,0.801056338028169,0.8189655172413793
9,2,0.41955502837896347,0.9546677754677755,0.49315916061401366,0.90440596163186,0.82875,0.8309859154929577,0.8232758620689655
10,2,0.3759306275844574,0.9763725571725571,0.4896188509464264,0.9055366682855754,0.85625,0.8767605633802817,0.8060344827586207
11,2,0.33737792059779165,0.9875839619839621,0.494400343298912,0.9109625424963574,0.82625,0.8221830985915493,0.8362068965517241
12,2,0.31856393605470656,0.9930763290763291,0.49504563689231873,0.9072896430305974,0.84375,0.8503521126760564,0.8275862068965517
13,2,0.294713900834322,0.9972224532224532,0.46716143548488615,0.9253657722195241,0.8525,0.8485915492957746,0.8620689655172413
14,2,0.290136756375432,0.9971492723492724,0.4776751983165741,0.9184904686741137,0.845,0.8397887323943662,0.8577586206896551
15,2,0.2895831050723791,0.9958063558063557,0.48553886234760285,0.9178985551238467,0.8725,0.9049295774647887,0.7931034482758621
16,2,0.274767015054822,0.9985249777249777,0.4801923429965973,0.9216549295774648,0.86375,0.8785211267605634,0.8275862068965517
17,2,0.26908830136060713,0.9991555687555687,0.485836127102375,0.9158344463331713,0.865,0.9014084507042254,0.7758620689655172
18,2,0.2690676649659872,0.999305256905257,0.4770322734117508,0.9262460539096649,0.87625,0.9102112676056338,0.7931034482758621
19,2,0.2643484860658646,0.9997338877338877,0.49104311972856524,0.9144533147158814,0.8725,0.9049295774647887,0.7931034482758621
20,2,0.26166156865656376,0.999753370953371,0.4759433415532112,0.9222544317629917,0.8625,0.875,0.8318965517241379
21,2,0.25833373121917247,0.9998084942084943,0.4833820974826813,0.9124954468188441,0.8825,0.9190140845070423,0.7931034482758621
22,2,0.2552992370724678,0.9999116127116127,0.4798966324329376,0.9153487736765421,0.855,0.8679577464788732,0.8232758620689655
23,2,0.2565862441807985,0.9997452925452925,0.49835307240486143,0.9097483608547838,0.88,0.9348591549295775,0.7456896551724138
24,2,0.2547398438304663,0.9997429165429166,0.48606657564640043,0.9199323093734821,0.88,0.9137323943661971,0.7974137931034483
25,2,0.2538170520961285,0.9999786159786159,0.4765251016616821,0.9244475473530841,0.87,0.8961267605633803,0.8060344827586207
26,2,0.2529120924323797,0.999978615978616,0.4803807651996613,0.9164187712481786,0.87875,0.9066901408450704,0.8103448275862069
