epoch,phase,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
1,1,0.6905071544647217,0.5475750458583041,0.6690604357719422,0.6373333333333333,0.752,0.9813333333333333,0.064
2,1,0.6806006785801478,0.589211873217494,0.6785102519989014,0.6653226666666667,0.498,0.4,0.792
3,1,0.6744268080847604,0.6097768490947697,0.6631924648284913,0.6717653333333333,0.57,0.512,0.744
4,1,0.6670199380602155,0.6281201707436583,0.7151497445106506,0.691136,0.35,0.152,0.944
5,1,0.6610555184909276,0.643776384229769,0.6336498637199401,0.6952106666666666,0.718,0.7946666666666666,0.488
6,1,0.6550117566926139,0.6589064836103677,0.6375647072792053,0.688768,0.714,0.816,0.408
7,2,0.6343241080556598,0.7051369938311158,0.6115242786407471,0.7377279999999999,0.686,0.6933333333333334,0.664
8,2,0.5992603579929897,0.7519423033432588,0.5700942053794861,0.7984853333333334,0.682,0.6533333333333333,0.768
9,2,0.5361095948219299,0.8138419835915218,0.49420508193969725,0.8413013333333332,0.764,0.7893333333333333,0.688
10,2,0.45620908314841135,0.8737915080471901,0.4386819591522217,0.878656,0.798,0.8026666666666666,0.784
11,2,0.4269489740303585,0.8883998121694119,0.4442057399749756,0.881344,0.798,0.792,0.816
12,2,0.38846683284214567,0.9068271550261957,0.44321096467971804,0.890752,0.756,0.728,0.84
13,2,0.3546052338736398,0.9223557662105965,0.3998473813533783,0.9037653333333333,0.84,0.8613333333333333,0.776
14,2,0.3345512892178127,0.9310613841669494,0.3979664628505707,0.9040640000000001,0.828,0.8373333333333334,0.8
15,2,0.30758712819644385,0.9433304436319776,0.3807371814250946,0.9117226666666666,0.862,0.8773333333333333,0.816
16,2,0.2791991720199585,0.953012121040795,0.37018909001350403,0.9191893333333333,0.862,0.88,0.808
17,2,0.25878010034561155,0.9588504171221088,0.3823152332305908,0.9166293333333334,0.878,0.92,0.752
18,2,0.243069237777165,0.9646741861721508,0.3826627802848816,0.9183573333333334,0.874,0.8933333333333333,0.816
19,2,0.21713843146392278,0.9722364875051825,0.3887914991378784,0.9205333333333334,0.876,0.9013333333333333,0.8
20,2,0.20440428345543998,0.9752486870704711,0.39596750485897064,0.921472,0.882,0.912,0.792
21,2,0.18539085578918457,0.9800901147085799,0.39146423029899596,0.9225386666666667,0.866,0.88,0.824
22,2,0.19051849753516062,0.9786966975739073,0.405734557390213,0.9193813333333332,0.874,0.8933333333333333,0.816
23,2,0.19294508792672838,0.9775058736321033,0.4000893380641937,0.9199360000000001,0.872,0.8986666666666666,0.792
24,2,0.17960000428131648,0.9809527062681391,0.4045292105674744,0.9218346666666667,0.874,0.8986666666666666,0.8
25,2,0.17553679203987121,0.981347291847273,0.4193277316093445,0.9180373333333334,0.88,0.9093333333333333,0.792
26,2,0.1558637822696141,0.9861965719347179,0.4235866255760193,0.9186773333333333,0.88,0.9066666666666666,0.8
27,2,0.15547090266432081,0.98582946992826,0.4052078161239624,0.9218773333333334,0.874,0.896,0.808
28,2,0.14600571478264673,0.9875664317213826,0.41102072501182557,0.9218986666666668,0.868,0.888,0.808
29,2,0.1675714407648359,0.9831890838390311,0.4249601151943207,0.918976,0.874,0.9013333333333333,0.792
