epoch,phase,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
1,1,0.6918459901128496,0.5394726923221891,0.6839464983940124,0.6240000000000001,0.522,0.44266666666666665,0.76
2,1,0.6823373046602521,0.5854907937883985,0.6766852126121521,0.638464,0.542,0.4693333333333333,0.76
3,1,0.6707939516476222,0.6259713479828628,0.6556892318725586,0.6421760000000001,0.668,0.7466666666666667,0.432
4,1,0.6633574166979108,0.6406742741195834,0.6595996127128602,0.6588373333333333,0.598,0.5813333333333334,0.648
5,1,0.6588467918123517,0.6527540895556142,0.6527144770622253,0.6568959999999999,0.632,0.6533333333333333,0.568
6,1,0.6566188444410052,0.650969620444009,0.6432497663497925,0.6690773333333334,0.67,0.736,0.472
7,2,0.6423636674199785,0.6842579199804002,0.6228054656982421,0.7174400000000001,0.646,0.6373333333333333,0.672
8,2,0.5956488704681396,0.7569113332830777,0.5759459881782532,0.7805226666666666,0.688,0.6773333333333333,0.72
9,2,0.5336288020270211,0.8183918890480317,0.518117597579956,0.825472,0.722,0.72,0.728
10,2,0.4787302609852382,0.856378701644617,0.5116398701667786,0.8408533333333332,0.732,0.7093333333333334,0.8
11,2,0.43730339179720196,0.8827425150452931,0.4475787425041199,0.8771413333333333,0.802,0.792,0.832
12,2,0.3991561304501125,0.904015978163909,0.4404550380706787,0.8776746666666666,0.824,0.8373333333333334,0.784
13,2,0.3697585084778922,0.9177126129182214,0.41360766983032227,0.8959146666666666,0.834,0.8453333333333334,0.8
14,2,0.3304084933144706,0.9353653116480093,0.39563920950889586,0.903424,0.874,0.896,0.808
15,2,0.3131524114949363,0.9424060140338975,0.3881842660903931,0.9070933333333333,0.856,0.8586666666666667,0.848
16,2,0.29385326878513607,0.9493988164788361,0.3948704571723938,0.904384,0.852,0.8666666666666667,0.808
17,2,0.2795919502122062,0.9545594461824533,0.374044983625412,0.9143893333333333,0.89,0.92,0.8
18,2,0.2633188895838601,0.9601633466510873,0.3807935447692871,0.9140693333333334,0.874,0.896,0.808
19,2,0.24561093577316828,0.9655045826894325,0.3868525882959366,0.9117226666666666,0.856,0.864,0.832
20,2,0.22607346463203432,0.9711917191210282,0.3911637864112854,0.9138773333333333,0.874,0.9066666666666666,0.776
21,2,0.21420336071934018,0.9733189476461497,0.3969316784143448,0.9118506666666667,0.87,0.8853333333333333,0.824
22,2,0.20185435819625855,0.977351573002651,0.3961211268901825,0.9135146666666666,0.864,0.888,0.792
23,2,0.19375187677570752,0.9795145301722513,0.39677386689186095,0.9127040000000002,0.854,0.856,0.848
24,2,0.18154678392410278,0.9822958677270615,0.4077323408126831,0.9115093333333332,0.876,0.912,0.768
25,2,0.17449542927742004,0.9837603495282248,0.4018861317634583,0.9141973333333333,0.868,0.9013333333333333,0.768
