fold,best_epoch,val_accuracy,val_sensitivity,val_specificity,val_precision,val_f1,val_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_auc
1,12,0.8575,0.8945518453427065,0.7662337662337663,0.9040852575488455,0.8992932862190813,0.9143861410996736,0.85,0.8549931600547196,0.8364312267657993,0.9342301943198804,0.8928571428571429,0.9164407874328083
2,24,0.8625,0.9015817223198594,0.7662337662337663,0.9047619047619048,0.9031690140845071,0.9252809287958673,0.88,0.9042407660738714,0.8141263940520446,0.929676511954993,0.9167822468793343,0.9214703085349294
3,21,0.84625,0.8664323374340949,0.7965367965367965,0.912962962962963,0.8890892696122632,0.90595257115468,0.88,0.8905608755129959,0.8513011152416357,0.9421128798842258,0.9156118143459916,0.9239774408942274
4,27,0.8625,0.8714788732394366,0.8405172413793104,0.9304511278195489,0.9,0.9215335114133073,0.859,0.8563611491108071,0.8661710037174721,0.945619335347432,0.8987796123474515,0.9257929505337192
5,22,0.865,0.8890845070422535,0.8060344827586207,0.9181818181818182,0.9033989266547405,0.9156447304516756,0.871,0.8864569083447332,0.828996282527881,0.9337175792507204,0.9094736842105263,0.914228611821663
