epoch,train_loss,train_auc,val_loss,val_auc,val_sensitivity,val_specificity,val_accuracy
1,0.6913245814868382,0.5349108118804418,0.680742959022522,0.6395306666666667,0.9333333333333333,0.136,0.734
2,0.6812605271339417,0.6250614454160541,0.6702945384979248,0.6975146666666666,0.616,0.688,0.634
3,0.6534474541119166,0.6948000295252095,0.604423858165741,0.7949866666666666,0.7466666666666667,0.696,0.734
4,0.5578675974096571,0.8003608985714825,0.4753108777999878,0.8639786666666667,0.7813333333333333,0.816,0.79
5,0.46312590333393644,0.86378748759313,0.4123567292690277,0.891392,0.8373333333333334,0.8,0.828
6,0.4021960007803781,0.8990756096641664,0.38502642917633056,0.909824,0.8426666666666667,0.832,0.84
7,0.362752004129546,0.9197774144711218,0.3489008619785309,0.9258026666666667,0.84,0.856,0.844
8,0.3271045682259968,0.9336632932544321,0.36045194244384765,0.918528,0.888,0.792,0.864
9,0.3015609206897872,0.9448777687736359,0.3478816167116165,0.9248213333333333,0.8826666666666667,0.816,0.866
10,0.2696507156917027,0.9572284937117586,0.34371497297286985,0.9316906666666668,0.904,0.776,0.872
11,0.25456988411290304,0.9608186335481764,0.3525680103302002,0.92704,0.9066666666666666,0.808,0.882
12,0.24691304118292673,0.9628237564861231,0.3493416442871094,0.9250346666666667,0.8906666666666667,0.792,0.866
13,0.21540511892523084,0.9722470883117862,0.3505527400970459,0.9322453333333334,0.928,0.792,0.894
14,0.20266578083378928,0.9747547680072367,0.33426224017143247,0.9378133333333333,0.912,0.816,0.888
15,0.1853706658227103,0.979379860666139,0.35084521436691285,0.935808,0.92,0.8,0.89
16,0.18226867488026618,0.9798993001897152,0.3558465883731842,0.9370453333333334,0.9093333333333333,0.808,0.884
17,0.16566124217850822,0.9830171151985727,0.3520459296703339,0.9376639999999999,0.928,0.792,0.894
18,0.15923505773288862,0.983936637015818,0.33904651951789855,0.9404373333333333,0.9173333333333333,0.816,0.892
19,0.13818328188998358,0.9885369944593118,0.3759106867313385,0.9377920000000001,0.928,0.784,0.892
20,0.13211499343599592,0.9897050462980412,0.3761658489704132,0.9362986666666665,0.9093333333333333,0.816,0.886
21,0.12753340727090837,0.9899200070986143,0.3730380947589874,0.9383253333333332,0.9253333333333333,0.832,0.902
22,0.13339136370590754,0.9893469746083199,0.37468030881881714,0.9381333333333334,0.928,0.832,0.904
23,0.12614290877750942,0.9901102326837787,0.3722560722827911,0.9400319999999999,0.9253333333333333,0.824,0.9
