epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
1,0.6926590138673783,0.524880278706991,0.6900639820098877,0.5716415980036367,0.6975,0.8998242530755711,0.19913419913419914
2,0.6825389051437378,0.6140052067602402,0.6811862206459045,0.618058567091959,0.65375,0.7416520210896309,0.43722943722943725
3,0.6636327087879181,0.6696309677811527,0.6487229776382446,0.7077199309185249,0.71625,0.81195079086116,0.4805194805194805
4,0.6073851877450943,0.7545476045293686,0.5679718625545501,0.7882287601092522,0.73125,0.7258347978910369,0.7445887445887446
5,0.48941424280405044,0.8507292503670945,0.4995489192008972,0.8411810801968973,0.77625,0.7680140597539543,0.7965367965367965
6,0.4341415438055992,0.8830017609145357,0.470579189658165,0.8625826428989873,0.8,0.8330404217926186,0.7186147186147186
7,0.3754498013854027,0.9133286223645644,0.4883787322044373,0.8634575734751483,0.82375,0.8840070298769771,0.6753246753246753
8,0.3424627447128296,0.9283619315731787,0.49360219776630404,0.8717199613508928,0.76125,0.7240773286467487,0.8528138528138528
9,0.31018231630325316,0.9416063073793148,0.4607303923368454,0.8847678390736388,0.81875,0.843585237258348,0.7575757575757576
10,0.2876275871694088,0.9497726197735317,0.46700397789478304,0.8888533844597114,0.82,0.8629173989455184,0.7142857142857143
11,0.25847314804792404,0.9596081917668222,0.46552408576011656,0.8876589140209528,0.83,0.8576449912126538,0.7619047619047619
12,0.23714935682713986,0.965896765198098,0.47014919996261595,0.8902913138414016,0.82,0.8295254833040422,0.7965367965367965
13,0.20281079903244972,0.9753585940037726,0.4667544037103653,0.8953126545393681,0.83125,0.8471001757469244,0.7922077922077922
14,0.1789298525825143,0.9810768172846964,0.5603641223907471,0.8855286482703002,0.83625,0.8822495606326889,0.7229437229437229
15,0.17842241209000348,0.9804228854303793,0.5251089268922806,0.8918129322347248,0.84375,0.8822495606326889,0.7489177489177489
16,0.16060645047575237,0.9844936943303112,0.527230834364891,0.892840024650218,0.84,0.8681898066783831,0.7705627705627706
17,0.1643731110729277,0.983208150735804,0.5529695230722428,0.8907401912674321,0.84125,0.8717047451669596,0.7662337662337663
18,0.14612134255468845,0.9867280802232392,0.5759348595142364,0.8907554074513652,0.835,0.8787346221441125,0.7272727272727273
