epoch,phase,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity
1,1,0.7050592720508575,0.5868960034648416,0.6838696855306625,0.6596824382413136,0.56625,0.5043936731107206,0.7186147186147186
2,1,0.6812341175973415,0.6526501098909449,0.6678371584415436,0.6969925212455967,0.6025,0.5413005272407733,0.7532467532467533
3,1,0.6719927661120891,0.6744392902393667,0.6858303338289261,0.6972283720965619,0.49375,0.3304042179261863,0.8961038961038961
4,1,0.6833611145615578,0.6596531644223079,0.6707369101047516,0.6864324895959343,0.5775,0.5131810193321616,0.7359307359307359
5,1,0.6820200791954995,0.6656807824767159,0.6880722224712372,0.6905941159016731,0.5025,0.35500878734622143,0.8658008658008658
6,1,0.6810504534840583,0.6689060389680699,0.6825629419088364,0.6976468171547258,0.51625,0.38137082601054484,0.8484848484848485
7,2,0.6119150057435035,0.7878449407424715,0.566869929432869,0.8483022542776497,0.72875,0.6889279437609842,0.8268398268398268
8,2,0.49483377009630203,0.9064739728473438,0.5216569763422012,0.8891272757705095,0.81875,0.8330404217926186,0.7835497835497836
9,2,0.4342814165353775,0.9481461008185308,0.4937801283597946,0.9100951772305024,0.85,0.8734622144112478,0.7922077922077922
10,2,0.3789327223598957,0.9746695198421066,0.5036118137836456,0.9101788662421352,0.8525,0.8927943760984183,0.7532467532467533
11,2,0.34417378678917887,0.9873934095826423,0.49592292934656146,0.9136329399949786,0.835,0.8488576449912126,0.8008658008658008
12,2,0.3132131358981132,0.9938462970455766,0.4971360832452774,0.9143861410996736,0.8575,0.8945518453427065,0.7662337662337663
13,2,0.29655529849231244,0.9970176528357944,0.5313921734690666,0.896423435966494,0.86375,0.929701230228471,0.7012987012987013
14,2,0.28090759880840777,0.9988944420066448,0.49746147483587266,0.9129938602697829,0.86125,0.8875219683655536,0.7965367965367965
15,2,0.2786906260251999,0.9980168341150122,0.5031047713756561,0.9095473946089061,0.84875,0.8910369068541301,0.7445887445887446
16,2,0.26899512387812136,0.9995516981332786,0.537393020093441,0.8954876406546002,0.84875,0.8857644991212654,0.7575757575757576
17,2,0.271221034899354,0.9991280908609106,0.5186658316850662,0.9138992232138102,0.8625,0.9209138840070299,0.7186147186147186
18,2,0.26446184381842613,0.9996495267186013,0.5104196518659592,0.9131688463850152,0.8725,0.9349736379613357,0.7186147186147186
19,2,0.26174674548208715,0.999508007697115,0.527580679655075,0.9068465219607575,0.87375,0.9472759226713533,0.6926406926406926
20,2,0.2595491487532854,0.9998822257807766,0.5075818213820458,0.9107722974155311,0.865,0.9191564147627417,0.7316017316017316
