fold,best_epoch,val_accuracy,val_sensitivity,val_specificity,val_precision,val_f1,val_auc,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_auc
1,12,0.85875,0.8980667838312829,0.7619047619047619,0.9028268551236749,0.9004405286343612,0.9147741537899711,0.86,0.8768809849521204,0.8141263940520446,0.9276410998552822,0.9015471167369902,0.9190242017097321
2,13,0.83125,0.8471001757469244,0.7922077922077922,0.909433962264151,0.8771610555050047,0.8953126545393681,0.843,0.8426812585499316,0.8438661710037175,0.9361702127659575,0.886969042476602,0.9241910302635794
3,20,0.83625,0.8646748681898067,0.7662337662337663,0.9010989010989011,0.882511210762332,0.9060096318444297,0.86,0.8768809849521204,0.8141263940520446,0.9276410998552822,0.9015471167369902,0.9232909036355962
4,10,0.845,0.8450704225352113,0.8448275862068966,0.9302325581395349,0.8856088560885608,0.9093916949975716,0.832,0.8440492476060192,0.7992565055762082,0.9195230998509687,0.8801711840228246,0.9018505993215995
5,27,0.8425,0.8785211267605634,0.7543103448275862,0.8974820143884892,0.8879003558718861,0.9078512020398252,0.863,0.8823529411764706,0.8104089219330854,0.9267241379310345,0.9039943938332164,0.9203921907658195
